Packet 108: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 109: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 110: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 111: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 112: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 113: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 114: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 115: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 116: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 117: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 118: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 119: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 120: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 121: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 122: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 123: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 124: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 125: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 126: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 127: 15.128.1.94 -> 15.128.1.94, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 0 231.23.18.42
Packet 128: 15.128.1.94 -> 15.128.1.94, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 0 231.23.18.42
Packet 129: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 130: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 131: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 132: 12.118.0.0 -> 12.118.0.0, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 0 0.0.0.0
Packet 133: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 134: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 135: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 136: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 137: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 138: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 139: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 140: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 141: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 142: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 143: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 144: 8.8.8.8 -> 8.8.8.8, Src MAC: EC:A9:40:7E:8E:CA, Dst MAC: 34:02:86:18:94:85, Protocol: 17 dasjero98772-lial
Packet 145: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 146: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 147: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 148: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 149: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
Packet 150: 192.168.1.19 -> 192.168.1.19, Src MAC: 34:02:86:18:94:85, Dst MAC: EC:A9:40:7E:8E:CA, Protocol: 17 dns.google
